Model_year,Make,Model,Vehicle_Class,Motor,Engine_Size,Cylinders,Transmission,Fuel_type_1,Consumption_comb(Le/100km),Range(km),Recharge_time(h),Fuel_type_2,Consumption_city(L/100km),Consumption_Hwy(L/100km),Consumption_comb(L/100km),Range_2(km),CO2_Emissions(g/km),CO2_Rating,Smog_Rating
2021,BMW,i3s REx (120 Ah),Subcompact,135.0,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203.0,7.0,Z,7.8,7.5,7.7,116.0,14.0,10.0,7.0
2021,BMW,X3 xDrive30e,SUV: Small,80.0,2.0,4.0,AS8,B/Z*,3.9 ([34.9 kWh + 0.0 L]/100 km),29.0,3.0,Z,11.0,8.6,9.9,512.0,127.0,9.0,7.0
2021,BMW,X5 xDrive45e,SUV: Standard,83.0,3.0,6.0,AS8,B/Z,4.7 ([38.8 kWh + 0.3 L]/100 km),50.0,5.0,Z,12.2,10.6,11.5,600.0,111.0,9.0,7.0
2021,Chrysler,Pacifica Hybrid,Minivan,89.0,3.6,6.0,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51.0,2.0,X,8.0,7.9,8.0,784.0,74.0,10.0,7.0
2021,Ford,Escape Plug-in Hybrid,SUV: Small,62.0,2.5,4.0,AV,B/X*,2.2 ([20.2 kWh + 0.0 L]/100 km),60.0,3.3,X,5.5,6.2,5.8,784.0,48.0,10.0,7.0
2021,Honda,Clarity Plug-in Hybrid,Mid-size,135.0,1.5,4.0,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77.0,2.5,X,5.3,5.9,5.6,475.0,36.0,10.0,8.0
2021,Hyundai,IONIQ Plug-in Hybrid,Mid-size,45.0,1.6,4.0,AM6,B/X*,2.0 ([17.4 kWh + 0.0 L]/100 km),47.0,2.3,X,4.5,4.6,4.5,954.0,46.0,10.0,7.0
2021,Jeep,Wrangler 4xe,SUV: Small,100.0,2.0,4.0,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35.0,2.4,X,11.6,11.9,11.7,557.0,143.0,8.0,5.0
2021,Karma,"GS-6 (21"" Wheels)",Subcompact,400.0,1.5,3.0,A1,B,3.4 (29.9 kWh/100 km),98.0,6.25,Z,8.8,9.5,9.1,428.0,44.0,10.0,7.0
2021,Karma,"GS-6 (22"" Wheels)",Subcompact,400.0,1.5,3.0,A1,B,3.8 (33.7 kWh/100 km),87.0,6.25,Z,10.7,11.0,10.8,360.0,60.0,10.0,7.0
2021,Karma,"Revero GT (21"" Wheels)",Subcompact,400.0,1.5,3.0,A1,B,3.4 (29.9 kWh/100 km),98.0,6.25,Z,8.8,9.5,9.1,428.0,44.0,10.0,7.0
2021,Karma,"Revero GT (22"" Wheels)",Subcompact,400.0,1.5,3.0,A1,B,3.8 (33.7 kWh/100 km),87.0,6.25,Z,10.7,11.0,10.8,360.0,60.0,10.0,7.0
2021,Kia,Niro Plug-in Hybrid,Station wagon: Small,45.0,1.6,4.0,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42.0,2.25,X,4.9,5.3,5.1,853.0,56.0,10.0,7.0
2021,Lincoln,Aviator Grand Touring,SUV: Standard,62.0,3.0,6.0,AS10,B/X*,4.2 ([37.3 kWh + 0.0 L]/100 km),34.0,3.5,X,10.9,9.6,10.3,713.0,130.0,9.0,7.0
2021,Lincoln,Corsair Grand Touring,SUV: Small,62.0,2.5,4.0,AV,B/X*,3.0 ([26.9 kWh + 0.0 L]/100 km),45.0,3.4,X,6.9,7.3,7.1,644.0,73.0,10.0,7.0
2021,MINI,Cooper SE Countryman ALL4,Mid-size,65.0,1.5,3.0,AS6,B/Z*,3.2 ([28.4 kWh + 0.0 L]/100 km),29.0,3.0,Z,8.1,7.9,8.0,451.0,109.0,9.0,3.0
2021,Mitsubishi,Outlander PHEV AWD,SUV: Small,70.0,2.4,4.0,A1,B/X*,3.2 ([28.2 kWh + 0.0 L]/100 km),39.0,4.0,X,9.2,9.0,9.1,470.0,103.0,10.0,7.0
2021,Polestar,1,Minicompact,170.0,2.0,4.0,AS8,B/Z*,3.9 ([35.4 kWh + 0.0 L]/100 km),84.0,9.0,Z,10.5,7.6,9.2,671.0,54.0,10.0,5.0
2021,Porsche,Cayenne E-Hybrid,SUV: Standard,99.0,3.0,6.0,AS8,B/Z*,5.1 ([44.9 kWh + 0.0 L]/100 km),27.0,3.0,Z,11.8,10.6,11.3,666.0,160.0,7.0,5.0
2021,Porsche,Cayenne Turbo S E-Hybrid,SUV: Standard,99.0,4.0,8.0,AS8,B/Z*,5.6 ([51.2 kWh + 0.0 L]/100 km),24.0,3.0,Z,13.8,12.1,13.0,578.0,199.0,6.0,3.0
2021,Porsche,Panamera 4 E-Hybrid,Full-size,70.0,2.9,6.0,AM8,B/Z*,4.5 ([39.6 kWh + 0.0 L]/100 km),31.0,3.0,Z,11.4,10.0,10.8,745.0,144.0,8.0,5.0
2021,Porsche,Panamera Turbo S E-Hybrid,Full-size,70.0,4.0,8.0,AM8,B/Z*,4.9 ([43.8 kWh + 0.0 L]/100 km),27.0,3.0,Z,13.2,10.8,12.1,665.0,171.0,7.0,3.0
2021,Subaru,Crosstrek Hybrid AWD,SUV: Small,100.0,2.0,4.0,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27.0,2.0,X,6.6,6.8,6.7,747.0,94.0,10.0,6.0
2021,Toyota,Prius Prime,Mid-size,71.0,1.8,4.0,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40.0,2.0,X,4.3,4.4,4.3,995.0,49.0,10.0,7.0
2021,Toyota,RAV4 Prime,SUV: Small,134.0,2.5,4.0,AV,B/X*,2.5 ([22.3 kWh + 0.0 L]/100 km),68.0,4.5,X,5.7,6.4,6.0,911.0,44.0,10.0,7.0
2021,Volvo,S60 T8 AWD,Compact,65.0,2.0,4.0,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35.0,3.0,Z,8.4,7.0,7.8,781.0,94.0,10.0,7.0
2021,Volvo,S90 T8 AWD,Mid-size,65.0,2.0,4.0,AS8,B/Z,3.7 ([31.4 kWh + 0.2 L]/100 km),34.0,3.0,Z,8.3,7.5,7.9,761.0,99.0,10.0,7.0
2021,Volvo,V60 T8 AWD,Station wagon: Small,65.0,2.0,4.0,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35.0,3.0,Z,8.4,7.0,7.8,781.0,94.0,10.0,7.0
2021,Volvo,XC60 T8 AWD,SUV: Small,65.0,2.0,4.0,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),31.0,3.0,Z,9.8,8.7,9.3,769.0,125.0,9.0,7.0
2021,Volvo,XC90 T8 AWD,SUV: Standard,65.0,2.0,4.0,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29.0,3.0,Z,9.1,8.4,8.8,813.0,120.0,9.0,7.0
2022,Audi,A7 Sportback 55 TFSI e quattro,Mid-size,105.0,2.0,4.0,AM7,B/Z*,3.4 ([29.9 kWh + 0.0 L]/100 km),42.0,3.0,Z,9.5,7.5,8.6,623.0,78.0,10.0,7.0
2022,Audi,Q5 55 TFSI e quattro,SUV: Small,105.0,2.0,4.0,AM7,B/Z*,3.9 ([34.7 kWh + 0.0 L]/100 km),37.0,3.0,Z,9.4,8.8,9.1,594.0,92.0,10.0,7.0
2022,Bentley,Flying Spur Hybrid,Mid-size,103.0,2.9,6.0,AM8,B/Z*,5.1 ([45.9 kWh + 0.0 L]/100 km),34.0,3.0,Z,13.7,10.7,12.3,653.0,156.0,7.0,5.0
2022,BMW,330e xDrive,Compact,83.0,2.0,4.0,AS8,B/Z*,3.5 ([31.3 kWh + 0.0 L]/100 km),32.0,3.0,Z,10.7,7.9,9.4,436.0,119.0,9.0,7.0
2022,BMW,530e xDrive,Mid-size,83.0,2.0,4.0,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31.0,3.0,Z,10.5,8.4,9.5,486.0,126.0,8.0,7.0
2022,BMW,745Le xDrive,Full-size,83.0,3.0,6.0,AS8,B/Z*,4.2 ([37.4 kWh + 0.0 L]/100 km),27.0,3.0,Z,12.2,9.1,10.8,435.0,152.0,7.0,3.0
2022,BMW,X3 xDrive30e,SUV: Small,80.0,2.0,4.0,AS8,B/Z*,3.9 ([34.9 kWh + 0.0 L]/100 km),29.0,3.0,Z,11.0,8.6,9.9,512.0,127.0,8.0,7.0
2022,BMW,X5 xDrive45e,SUV: Standard,83.0,3.0,6.0,AS8,B/Z*,4.5 ([39.2 kWh + 0.0 L]/100 km),50.0,5.0,Z,12.2,10.6,11.5,602.0,110.0,9.0,7.0
2022,Chrysler,Pacifica Hybrid,Minivan,89.0,3.6,6.0,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51.0,2.0,X,8.0,7.9,8.0,784.0,74.0,10.0,7.0
2022,Ford,Escape Plug-in Hybrid,SUV: Small,62.0,2.5,4.0,AV,B/X*,2.2 ([20.2 kWh + 0.0 L]/100 km),60.0,3.3,X,5.5,6.2,5.8,784.0,48.0,10.0,7.0
2022,Hyundai,IONIQ Plug-in Hybrid,Mid-size,45.0,1.6,4.0,AM6,B/X*,2.0 ([17.4 kWh + 0.0 L]/100 km),47.0,2.3,X,4.5,4.6,4.5,954.0,46.0,10.0,7.0
2022,Hyundai,Santa Fe Plug-in Hybrid,SUV: Small,67.0,1.6,4.0,AM6,B/X*,3.1 ([27.5 kWh + 0.0 L]/100 km),50.0,3.4,X,7.1,7.3,7.2,655.0,69.0,10.0,7.0
2022,Hyundai,Tucson Plug-in Hybrid,SUV: Small,67.0,1.6,4.0,AM6,B/X*,2.9 ([25.9 kWh + 0.0 L]/100 km),53.0,1.7,X,6.8,6.6,6.7,626.0,62.0,10.0,7.0
2022,Jeep,Grand Cherokee 4xe,SUV: Standard,100.0,2.0,4.0,A8,B/X*,4.2 ([36.0 kWh + 0.0 L]/100 km),42.0,3.4,X,10.3,9.7,10.0,719.0,110.0,9.0,7.0
2022,Jeep,Wrangler 4xe,SUV: Small,100.0,2.0,4.0,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35.0,2.4,X,11.6,11.9,11.7,557.0,143.0,8.0,5.0
2022,Kia,Niro Plug-in Hybrid,Station wagon: Small,45.0,1.6,4.0,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42.0,2.25,X,4.9,5.3,5.1,853.0,56.0,10.0,7.0
2022,Kia,Sorento Plug-in Hybrid,SUV: Small,67.0,1.6,4.0,AM6,B/X*,3.0 ([26.4 kWh + 0.0 L]/100 km),51.0,3.4,X,6.7,7.1,6.9,681.0,65.0,10.0,7.0
2022,Lexus,NX 450h+ AWD,SUV: Small,134.0,2.5,4.0,AV6,B/Z*,2.8 ([24.7 kWh + 0.0 L]/100 km),61.0,4.5,Z,6.2,7.0,6.6,835.0,54.0,10.0,7.0
2022,Lincoln,Aviator Grand Touring,SUV: Standard,62.0,3.0,6.0,AS10,B/X*,4.2 ([37.3 kWh + 0.0 L]/100 km),34.0,3.5,X,10.9,9.6,10.3,713.0,130.0,8.0,7.0
2022,Lincoln,Corsair Grand Touring,SUV: Small,62.0,2.5,4.0,AV,B/X*,3.1 ([27.3 kWh + 0.0 L]/100 km),45.0,3.4,X,6.9,7.3,7.0,645.0,74.0,10.0,7.0
2022,MINI,Cooper SE Countryman ALL4,Mid-size,65.0,1.5,3.0,AS6,B/Z*,3.2 ([28.4 kWh + 0.0 L]/100 km),29.0,3.0,Z,8.1,7.9,8.0,451.0,109.0,9.0,3.0
2022,Mitsubishi,Outlander PHEV AWD,SUV: Small,70.0,2.4,4.0,A1,B/X*,3.2 ([28.2 kWh + 0.0 L]/100 km),39.0,4.0,X,9.2,9.0,9.1,470.0,103.0,9.0,7.0
2022,Porsche,Cayenne E-Hybrid,SUV: Standard,99.0,3.0,6.0,AS8,B/Z*,5.1 ([44.9 kWh + 0.0 L]/100 km),27.0,3.0,Z,11.8,10.6,11.3,666.0,160.0,7.0,5.0
2022,Porsche,Cayenne Turbo S E-Hybrid,SUV: Standard,99.0,4.0,8.0,AS8,B/Z*,5.6 ([51.2 kWh + 0.0 L]/100 km),24.0,3.0,Z,13.8,12.1,13.0,578.0,199.0,6.0,3.0
2022,Porsche,Panamera 4 E-Hybrid,Full-size,70.0,2.9,6.0,AM8,B/Z*,4.5 ([39.6 kWh + 0.0 L]/100 km),31.0,3.0,Z,11.4,10.0,10.8,745.0,144.0,8.0,5.0
2022,Porsche,Panamera 4S E-Hybrid,Full-size,70.0,2.9,6.0,AM8,B/Z*,4.7 ([40.9 kWh + 0.0 L]/100 km),31.0,3.0,Z,11.4,10.1,10.8,742.0,147.0,8.0,5.0
2022,Porsche,Panamera Turbo S E-Hybrid,Full-size,70.0,4.0,8.0,AM8,B/Z*,4.9 ([43.8 kWh + 0.0 L]/100 km),27.0,3.0,Z,13.2,10.8,12.1,665.0,171.0,7.0,3.0
